Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Palmeiras,38,20,10,8,64,33,+31,70,1.84,57.2,39.3,+17.9,+0.47,"22,462",Endrick-11,Wéverton,
2,Grêmio,38,21,5,12,63,56,+7,68,1.79,50.0,55.3,-5.3,-0.14,"20,527",Luis Suárez-17,Gabriel Chapecó,
3,Atlético Mineiro,38,19,9,10,52,32,+20,66,1.74,46.6,40.8,+5.8,+0.15,"15,020",Paulinho-20,Éverson,
4,Flamengo,38,19,9,10,56,42,+14,66,1.74,49.8,45.1,+4.7,+0.12,"34,644",Pedro-13,Matheus Cunha,
5,Botafogo (RJ),38,18,10,10,58,37,+21,64,1.68,50.2,48.9,+1.3,+0.03,"22,125",Tiquinho Soares-17,Lucas Perri,
6,Bragantino,38,17,11,10,49,35,+14,62,1.63,57.8,42.6,+15.2,+0.40,"3,110",Eduardo Sasha-11,Cleiton Schwengber,
7,Fluminense,38,16,8,14,51,47,+4,56,1.47,50.3,48.3,+2.0,+0.05,"23,449",Germán Cano-10,Fábio,
8,Ath Paranaense,38,14,14,10,51,43,+8,56,1.47,51.1,46.6,+4.5,+0.12,"13,349",Vitor Roque-12,Bento,
9,Internacional,38,15,10,13,46,45,+1,55,1.45,42.2,47.1,-4.9,-0.13,"11,509",Enner Valencia-9,Sergio Rochet,
10,Fortaleza,38,15,9,14,45,44,+1,54,1.42,51.4,43.8,+7.5,+0.20,"21,666",Juan Martín Lucero-9,João Ricardo Riedi,
11,São Paulo,38,14,11,13,40,38,+2,53,1.39,49.0,36.6,+12.4,+0.33,"25,306","Luciano,Jonathan Calleri-9",Rafael Pires,
12,Cuiabá,38,14,9,15,40,39,+1,51,1.34,38.7,42.2,-3.5,-0.09,"8,192",Deyverson-12,Walter,
13,Corinthians,38,12,14,12,47,48,-1,50,1.32,40.1,49.2,-9.1,-0.24,"24,253","Ángel Romero,Yuri Alberto-8",Cássio,
14,Cruzeiro,38,11,14,13,35,32,+3,47,1.24,47.8,41.7,+6.0,+0.16,"16,669",Bruno Nascimento-8,Rafael Cabral,
15,Vasco da Gama,38,12,9,17,41,51,-10,45,1.18,47.7,46.2,+1.5,+0.04,"14,513",Pablo Vegetti-10,Léo Jardim,
16,Bahia,38,12,8,18,50,53,-3,44,1.16,50.6,51.2,-0.6,-0.02,"26,716",Everaldo Stum-9,Marcos Felipe,
17,Santos,38,11,10,17,39,64,-25,43,1.13,42.5,51.0,-8.5,-0.22,"6,132",Marcos Leonardo-13,João Paulo,Relegated
18,Goiás,38,9,11,18,36,53,-17,38,1.00,36.5,45.9,-9.4,-0.25,"6,446",Guilherme-6,Tadeu,Relegated
19,Coritiba,38,8,6,24,41,73,-32,30,0.79,39.1,60.5,-21.4,-0.56,"9,880",Robson-12,Gabriel,Relegated
20,América (MG),38,5,9,24,42,81,-39,24,0.63,46.9,62.8,-15.9,-0.42,"2,250",Gonzalo Mastriani-11,Matheus Cavichioli,Relegated
